family,label,num_seeds,all_negatives_mean_margin_mean,all_negatives_mean_margin_std,all_negatives_tie_aware_ranking_acc_mean,all_negatives_tie_aware_ranking_acc_std,coarse_action_cf_mean_margin_mean,coarse_action_cf_mean_margin_std,coarse_action_cf_ranking_acc_mean,coarse_action_cf_ranking_acc_std,delta_phi_mae_mean,delta_phi_mae_std,delta_phi_rmse_mean,delta_phi_rmse_std,reverse_mean_margin_mean,reverse_mean_margin_std,reverse_ranking_acc_mean,reverse_ranking_acc_std,scaled_0.25_mean_margin_mean,scaled_0.25_mean_margin_std,scaled_0.25_ranking_acc_mean,scaled_0.25_ranking_acc_std,scaled_1.75_mean_margin_mean,scaled_1.75_mean_margin_std,scaled_1.75_ranking_acc_mean,scaled_1.75_ranking_acc_std,shuffle_mean_margin_mean,shuffle_mean_margin_std,shuffle_ranking_acc_mean,shuffle_ranking_acc_std,temporal_diagnostic_mean_margin_mean,temporal_diagnostic_mean_margin_std,temporal_diagnostic_ranking_acc_mean,temporal_diagnostic_ranking_acc_std,wrong_arm_mean_margin_mean,wrong_arm_mean_margin_std,wrong_arm_ranking_acc_mean,wrong_arm_ranking_acc_std,zero_mean_margin_mean,zero_mean_margin_std,zero_ranking_acc_mean,zero_ranking_acc_std
ablation_seed42,cf_multi_only,1,0.03689342737197876,0.0,0.7272304274735831,0.0,0.054752856492996216,0.0,0.8436599423631124,0.0,0.08159601780393373,0.0,0.09239865006385871,0.0,3.531738318588789e-05,0.0,0.489193083573487,0.0,0.06893894359736465,0.0,0.9543407780979827,0.0,0.012613050098818128,0.0,0.685428674351585,0.0,0.002313827439238148,0.0,0.49954971181556196,0.0,0.0011745723895728588,0.0,0.4943713976945245,0.0,0.06190930969740723,0.0,0.7989012968299711,0.0,0.07555011097108275,0.0,0.9359690201729106,0.0
ablation_seed42,critic_aux_only,1,0.001363602583296597,0.0,0.6022304274735831,0.0,0.0020694187842309475,0.0,0.6512968299711815,0.0,0.07370642659449628,0.0,0.07728050330874744,0.0,3.114205809251032e-06,0.0,0.5012608069164265,0.0,0.002697348749662296,0.0,0.7359510086455331,0.0,-0.0001937600224405012,0.0,0.5484510086455331,0.0,-9.917460854355815e-05,0.0,0.5069344380403458,0.0,-4.803020055987872e-05,0.0,0.5040976224783862,0.0,0.0028275319459641446,0.0,0.5951008645533141,0.0,0.0029465544731315943,0.0,0.7256844380403458,0.0
ablation_seed42,phi_traj_only,1,0.0013808207586407661,0.0,0.667762367915466,0.0,0.002054592827335,0.0,0.7514859510086456,0.0,0.04756835466354779,0.0,0.05218134100750166,0.0,-7.862388894434277e-07,0.0,0.49729827089337175,0.0,0.002198704577424169,0.0,0.8321325648414986,0.0,0.0009050210290360305,0.0,0.6856988472622478,0.0,6.73403254889961e-05,0.0,0.5033321325648416,0.0,3.327704325783998e-05,0.0,0.5003152017291066,0.0,0.002367719995818753,0.0,0.6752521613832853,0.0,0.002746924744537825,0.0,0.8128602305475504,0.0
ablation_seed42,v2_full,1,0.004413394257426262,0.0,0.7021944044188281,0.0,0.006601062205570458,0.0,0.8050027017291067,0.0,0.015514916375176095,0.0,0.033596807117112534,0.0,1.3494532808972797e-06,0.0,0.49081412103746397,0.0,0.008736625050230795,0.0,0.9768551873198847,0.0,0.0013392731102494797,0.0,0.5634906340057637,0.0,7.476838508899987e-05,0.0,0.5023414985590778,0.0,3.8058919184948574e-05,0.0,0.49657780979827093,0.0,0.006808906320216784,0.0,0.7188400576368876,0.0,0.009519444341584771,0.0,0.9608249279538905,0.0
ablation_seed42,v3_coarse,1,0.004413394257426262,0.0,0.7021944044188281,0.0,0.006601062137633562,0.0,0.8050027017291066,0.0,0.015514916375176095,0.0,0.033596807117112534,0.0,1.3494532808972797e-06,0.0,0.49081412103746397,0.0,0.008736625050230795,0.0,0.9768551873198847,0.0,0.0013392731102494797,0.0,0.5634906340057637,0.0,7.476838508899987e-05,0.0,0.5023414985590778,0.0,3.805891901720315e-05,0.0,0.4965778097982709,0.0,0.006808906320216784,0.0,0.7188400576368876,0.0,0.009519444341584771,0.0,0.9608249279538905,0.0
main,mvp1_v1,3,0.0009189007493356863,0.0008599557211267638,0.5676232788984951,0.053790965587619276,0.0013676492497772263,0.0012808463092507398,0.6003767411143132,0.08130207655975599,0.018851143726285036,0.002739172643810087,0.033883430359326235,0.0018691671368216596,5.522502432367071e-07,4.2874538838831645e-07,0.5015609990393852,0.009675364897211257,0.0017722908935959628,0.0015648405629349888,0.6439121037463976,0.11607042466272051,0.00044785223587699713,0.00047930343959016894,0.570335014409222,0.07757915278439188,4.2255538539007295e-05,8.178974361284141e-05,0.5026717098943324,0.0008559424489303014,2.1403894391121997e-05,4.069184269956264e-05,0.5021163544668588,0.004578569584129007,0.000892653017046286,0.001654722872514301,0.5434077809798271,0.10861537188888065,0.00235780085258966,0.002093326141137569,0.6438520653218059,0.11771722824926402
main,mvp1_v2,3,0.005115022572378318,0.0030064856169387064,0.6880853746397695,0.024126259954628873,0.007619686185722941,0.004475433528395848,0.7815952209414027,0.036919171445697105,0.01584251995253673,0.004021264069910221,0.031588854890622235,0.0024935143414613597,1.1548415861046882e-06,2.1367984526738544e-06,0.4969980787704131,0.005367566113199177,0.010231527845913366,0.006211784045197649,0.9417026897214217,0.04872911574815925,0.001313082885172032,0.0011030095973999982,0.5585074447646494,0.04487657379864128,0.0002102369864070457,0.0001665835613253769,0.5051332853025937,0.00263023808834837,0.0001056959139965752,8.247918952553292e-05,0.5010656820365034,0.003948781773705975,0.007653406479046568,0.0038499335221713,0.705631604226705,0.011641263197037835,0.011280727532759799,0.006766699133840493,0.9205391450528339,0.05198941915922954
sweep_seed42,cf_1p0,1,0.01920994371175766,0.0,0.7930625600384246,0.0,0.02657366171479225,0.0,0.9082762968299711,0.0,0.01934482226509236,0.0,0.03377298733745915,0.0,0.00041482405839702625,0.0,0.5165706051873199,0.0,0.028422263716461584,0.0,0.9246217579250721,0.0,0.02117818273408996,0.0,0.8597802593659942,0.0,0.00855019441550807,0.0,0.608699567723343,0.0,0.0044825091026723385,0.0,0.5626350864553314,0.0,0.028271940536629302,0.0,0.9240814121037464,0.0,0.028422263716461584,0.0,0.9246217579250721,0.0
sweep_seed42,critic_w2,1,0.0030605157371610403,0.0,0.6870046829971181,0.0,0.004589761141687632,0.0,0.7797640489913544,0.0,0.013446521020181724,0.0,0.03016963603549636,0.0,2.4442314385015097e-06,0.0,0.497928674351585,0.0,0.005944646388089005,0.0,0.9274135446685879,0.0,0.0011092417878306791,0.0,0.5805115273775217,0.0,1.6047856307478478e-06,0.0,0.5050432276657061,0.0,2.024509512921213e-06,0.0,0.5014859510086456,0.0,0.004656849312344405,0.0,0.7169488472622478,0.0,0.006648307460778251,0.0,0.8941822766570605,0.0
sweep_seed42,phi_w20,1,0.001292280270718038,0.0,0.6715297790585975,0.0,0.0019358928548172116,0.0,0.764499279538905,0.0,0.013002165566283742,0.0,0.02968440775677079,0.0,-1.5118061893643751e-06,0.0,0.46884005763688763,0.0,0.0027347695373799866,0.0,0.9469560518731989,0.0,0.00022509043993661852,0.0,0.45902377521613835,0.0,1.1621011214422046e-05,0.0,0.5023414985590778,0.0,5.0546018428576645e-06,0.0,0.48559077809798273,0.0,0.0017619271553322802,0.0,0.7239733429394812,0.0,0.00302178438592525,0.0,0.9280439481268011,0.0
